WayPoints,79,WayPoints,80,1
WayPoints,79,WayPoints,80,1
WayPoints,79,WayPoints,82,1
WayPoints,82,WayPoints,81,1
WayPoints,80,WayPoints,81,1
WayPoints,81,WayPoints,89,1
WayPoints,82,WayPoints,33,1
WayPoints,89,WayPoints,92,1
WayPoints,89,WayPoints,88,1
WayPoints,87,WayPoints,88,1
WayPoints,88,WayPoints,90,1
WayPoints,92,WayPoints,93,1
WayPoints,92,WayPoints,91,1
WayPoints,93,WayPoints,96,1
WayPoints,97,WayPoints,96,1
WayPoints,100,WayPoints,101,1
WayPoints,100,WayPoints,97,1
WayPoints,102,WayPoints,100,1
WayPoints,102,WayPoints,103,1
WayPoints,102,WayPoints,105,1
WayPoints,125,WayPoints,124,1
WayPoints,123,WayPoints,124,1
WayPoints,124,WayPoints,113,1
WayPoints,122,WayPoints,113,1
WayPoints,112,WayPoints,113,1
WayPoints,112,WayPoints,121,1
WayPoints,112,WayPoints,116,1
WayPoints,104,WayPoints,120,1
WayPoints,120,WayPoints,116,1
WayPoints,116,WayPoints,117,1
WayPoints,118,WayPoints,117,1
WayPoints,117,WayPoints,28,1
WayPoints,112,WayPoints,114,1
WayPoints,32,WayPoints,112,1
WayPoints,113,WayPoints,114,1
WayPoints,111,WayPoints,114,1
WayPoints,111,WayPoints,107,1
WayPoints,106,WayPoints,107,1
WayPoints,111,WayPoints,110,1
WayPoints,107,WayPoints,108,1
WayPoints,110,WayPoints,108,1
WayPoints,108,WayPoints,109,1
WayPoints,110,WayPoints,86,1
WayPoints,86,WayPoints,84,1
WayPoints,85,WayPoints,84,1
WayPoints,113,WayPoints,115,1
WayPoints,58,WayPoints,115,1
WayPoints,59,WayPoints,115,1
WayPoints,57,WayPoints,58,1
WayPoints,67,WayPoints,68,1
WayPoints,60,WayPoints,61,1
WayPoints,61,WayPoints,61,1
WayPoints,66,WayPoints,69,1
WayPoints,64,WayPoints,66,1
WayPoints,69,WayPoints,70,1
WayPoints,72,WayPoints,69,1
WayPoints,70,WayPoints,72,1
WayPoints,71,WayPoints,70,1
WayPoints,69,WayPoints,77,1
WayPoints,71,WayPoints,74,1
WayPoints,73,WayPoints,74,1
WayPoints,73,WayPoints,75,1
WayPoints,70,WayPoints,75,1
WayPoints,77,WayPoints,70,1
WayPoints,77,WayPoints,78,1
WayPoints,70,WayPoints,78,1
WayPoints,73,WayPoints,78,1
WayPoints,65,WayPoints,64,1
WayPoints,65,WayPoints,49,1
WayPoints,42,WayPoints,65,1
WayPoints,91,WayPoints,68,1
WayPoints,33,WayPoints,93,2
WayPoints,22,WayPoints,23,1
WayPoints,33,WayPoints,101,0
WayPoints,29,WayPoints,30,0
WayPoints,29,WayPoints,119,0
WayPoints,118,WayPoints,119,0
WayPoints,118,WayPoints,120,0
WayPoints,120,WayPoints,121,0
WayPoints,121,WayPoints,122,0
WayPoints,123,WayPoints,122,0
WayPoints,123,WayPoints,68,0
WayPoints,125,WayPoints,68,0
WayPoints,125,WayPoints,58,0
WayPoints,59,WayPoints,58,0
WayPoints,59,WayPoints,60,0
WayPoints,67,WayPoints,83,0
WayPoints,67,WayPoints,66,0
WayPoints,57,WayPoints,66,0
WayPoints,57,WayPoints,56,0
WayPoints,83,WayPoints,87,0
WayPoints,64,WayPoints,55,0
WayPoints,56,WayPoints,55,0
WayPoints,101,WayPoints,30,0
